pr,skip,identifiers,comment,vin
,,,2017 Ford Fiesta,3FADP4AJ3HM165230
,,,2017 Ford Fiesta,3FADP4BJ3HM145266
,,,2019 Ford Fiesta,3FADP4EJ5KM161438
,,,2018 Ford Fiesta,3FADP4EJ8JM112829
,,,2017 Ford Fiesta,3FADP4EJ2HM167688
,,,2019 Ford Fiesta,3FADP4EJ1KM137590
,,,2019 Ford Fiesta,3FADP4EJ9KM133531
,,,2017 Ford Fiesta,3FADP4EJ2HM164466
,,,2018 Ford Fiesta,3FADP4BJ6JM147650
,,,2018 Ford Fiesta,3FADP4BJ5JM129589
,,,2019 Ford Fiesta,3FADP4EJXKM109612
,,,2019 Ford Fiesta,3FADP4EJ4KM143142
,,,2018 Ford Fiesta,3FADP4EJ1JM127379
,,,2019 Ford Fiesta,3FADP4BJ4KM143890
,,,2019 Ford Fiesta,3FADP4BJ7KM147416
,,,2019 Ford Fiesta,3FADP4BJ8KM114540
,,,2019 Ford Fiesta,3FADP4BJ1KM157309
,,,2019 Ford Fiesta,3FADP4BJ2KM145086
,,,2019 Ford Fiesta,3FADP4BJ0KM157432
,,,2019 Ford Fiesta,3FADP4AJXKM154264
,,,2019 Ford Fiesta,3FADP4BJ2KM128160
,country-uk,,2020 Ford Fiesta ST,WF0FXXGAHFLB43489
,country-uk,,2021 Ford Fiesta Vignale,WF0JXXGAHJLS81457
,country-uk,,2021 Ford Puma ST-Line,WF02XXERK2MJ55769
,country-uk,,2022 Ford Transit Custom,WF0YXXTTGYNU34472
,country-uk,,2023 Ford Focus Titanium,WF0NXXGCHNPE78530
,country-uk,,2020 Ford Puma ST-Line,WF02XXERK2LB45990
,country-uk,,2019 Ford Fiesta ST,WF0FXXGAHFKK85602
,country-uk,,2019 Ford Focus Active,WF0PXXGCHPKE24610
,country-uk,,2023 Ford Fiesta ST,WF0JXXGAHJPL69043
,country-uk,,2022 Ford Fiesta Titanium,WF0JXXGAHJNB72092
,country-uk,,2019 Ford Focus,WF0PXXGCHPKL30918
,country-uk,,2020 Ford Fiesta Active,WF0JXXGAHJKE44928
,country-uk,,2019 Ford Fiesta ST,WF0FXXGAHFKK02829
,country-uk,,2020 Ford Fiesta Trend,WF0JXXGAHJLA83822
,country-uk,,2019 Ford Fiesta ST,WF0JXXGAHJKY15163
,country-uk,,2019 Ford Fiesta Vignale,WF0JXXGAHJKY19368
